X,Y
-92.3736,51.4739
-95.0664,51.1606
-93.8399,51.3467
-93.5577,50.566
-93.2649,51.2325
-92.396,50.8715
-92.7223,50.9537
-92.7077,51.0112
-93.1658,51.5384
-93.1255,53.6484
-93.6768,50.997
-93.8832,53.567
-94.4758,51.7064
-94.4229,50.8365
-93.1761,50.4773
-94.1622,51.0337
-92.6173,51.6098
-94.2922,52.1069
-93.923,52.6138
-93.1404,52.6443
-93.8884,52.3623
-93.7056,51.2981
-93.5151,53.0927
-94.686,50.8465
-94.6886,50.878
-94.9931,51.1178
-92.7294,52.1766
-93.9789,51.8042
-93.339,51.565
-92.8424,53.3005
-92.6774,53.2912
-94.1016,52.6662
-92.8452,52.5265
-93.9951,51.2196
-94.2779,51.0909
-84.2012,46.5657
-84.3774,46.7535
-84.4352,46.8313
-83.717,46.4957
-82.4763,46.2026
-83.7662,46.5422
-84.3609,46.7684
-84.2699,46.6511
-84.149,46.5644
-83.4117,46.7239
-83.0927,47.0677
-84.2142,46.566
-83.3219,46.8572
-84.4236,46.8275
-83.0043,46.3934
-82.5559,46.3149
-84.1439,46.5634
-84.5914,46.9463
-84.0388,46.3591
-82.6939,46.2814
-82.6904,46.2941
-84.3093,46.6214
-90.2304,51.2216
-91.8194,51.7484
-89.4029,51.4429
-89.8522,53.6531
-91.6543,52.9065
-91.596,52.8698
-91.8652,50.4899
-89.882,52.978
-90.2134,51.2194
-89.9668,53.7762
-90.2281,51.2359
-90.1996,51.4691
-91.9504,50.0778
-90.231,51.2351
-92.3121,50.2901
-91.6779,50.1281
-92.2546,49.9264
-89.882,52.9771
-90.2424,51.2363
-90.7071,50.2389
-92.0929,53.9713
-91.061,50.1932
-90.3948,51.4556
-90.1945,51.4357
-90.1874,51.4328
-78.5449,45.5629
-78.3437,45.589
-78.1469,46.0253
-78.2078,45.7963
-78.8691,45.6297
-78.6766,45.5053
-78.0943,45.627
-78.8194,45.4541
-79.081,46.0349
-77.2165,44.9016
-78.0167,44.6645
-78.6867,45.1977
-77.0849,44.8717
-76.845,44.9307
-77.8015,44.7429
-78.4606,44.7469
-78.9409,44.9253
-78.2995,44.8219
-77.3668,44.8005
-77.0185,44.8189
-77.2368,44.903
-83.3452,47.8358
-83.2708,47.8769
-82.8368,48.196
-82.3139,47.2134
-82.9979,47.7011
-82.4364,47.6892
-83.4761,47.7791
-87.8755,56.0744
-80.6421,48.9514
-87.8279,56.1017
-80.6058,51.2654
-87.6335,56.013
-81.6516,52.238
-87.8114,56.0838
-81.661,52.2766
-86.007,55.0132
-86.7862,55.5113
-89.2787,55.3464
-89.1504,55.888
