longitude,latitude,Province,City / Town
-78.0943,45.627,Ontario,Bancroft
-78.8194,45.4541,Ontario,Huntsville
-79.081,46.0349,Ontario,Powassan
-77.2165,44.9016,Ontario,Bancroft
-78.0167,44.6645,Ontario,Bancroft
-78.6867,45.1977,Ontario,Huntsville
-77.0849,44.8717,Ontario,Greater Napanee
-76.845,44.9307,Ontario,Renfrew
-77.8015,44.7429,Ontario,Bancroft
-78.4606,44.7469,Ontario,Omemee
-78.9409,44.9253,Ontario,Bracebridge
-78.2995,44.8219,Ontario,Bancroft
-77.3668,44.8005,Ontario,Bancroft
-77.0185,44.8189,Ontario,Skatepark
-77.2368,44.903,Ontario,Bancroft
-83.3452,47.8358,Ontario,Thessalon
-83.2708,47.8769,Ontario,Elliot Lake
-82.8368,48.196,Ontario,Kapuskasing
-82.3139,47.2134,Ontario,Elliot Lake
-82.9979,47.7011,Ontario,Elliot Lake
-82.4364,47.6892,Ontario,Elliot Lake
-83.4761,47.7791,Ontario,Sault Ste. Marie
-87.8755,56.0744,Ontario,Greenstone
-80.6421,48.9514,Ontario,Iroquois Falls
-87.8279,56.1017,Ontario,Greenstone
-87.6335,56.013,Ontario,Greenstone
-87.8114,56.0838,Ontario,Greenstone
-86.007,55.0132,Ontario,Greenstone
-86.7862,55.5113,Ontario,Greenstone
-89.2787,55.3464,Ontario,Greenstone
-89.1504,55.888,Ontario,Greenstone
-80.567,48.7937,Ontario,Iroquois Falls
-87.7623,56.0392,Ontario,Greenstone
-80.567,48.7937,Ontario,Iroquois Falls
-87.7948,56.057,Ontario,Greenstone
-81.2948,49.1549,Ontario,Timmins
-87.795,56.066,Ontario,Greenstone
-85.4456,54.9714,Ontario,Greenstone
-81.2806,49.0649,Ontario,Timmins
-85.4119,55.0338,Ontario,Greenstone
-81.7393,52.2285,Ontario,Kapuskasing
-81.8248,49.8512,Ontario,Kapuskasing
-85.9667,55.3633,Ontario,Greenstone
-87.8114,56.0838,Ontario,Greenstone
-81.6669,52.2829,Ontario,Kapuskasing
-93.0207,49.596,Ontario,Dryden
-92.8401,49.8207,Ontario,Dryden
-92.8483,49.8495,Ontario,Dryden
-92.4942,49.6579,Ontario,Dryden
-93.8131,49.818,Ontario,Ear Falls
-92.6046,49.7212,Ontario,Dryden
-93.0346,49.7309,Ontario,Dryden
-93.3417,49.9823,Ontario,Dryden
-92.7138,49.7791,Ontario,Dryden
-92.575,49.6168,Ontario,Dryden
-92.4168,50.1045,Ontario,Dryden
-91.9569,49.5193,Ontario,Atikokan
-91.2516,49.3039,Ontario,Atikokan
-93.561,49.6486,Ontario,Dryden
-91.9365,49.9455,Ontario,Dryden
-90.9177,50.2339,Ontario,Atikokan
-90.8481,50.2236,Ontario,Atikokan
-91.8961,49.7616,Ontario,Dryden
-93.2351,49.5796,Ontario,Dryden
-91.7111,49.4089,Ontario,Atikokan
-91.9703,49.801,Ontario,Dryden
-91.9646,49.8072,Ontario,Dryden
-91.8062,49.4639,Ontario,Atikokan
-93.3397,49.7034,Ontario,Dryden
-93.4219,49.5862,Ontario,Dryden
-93.3845,49.5747,Ontario,Dryden
-91.0315,49.2698,Ontario,Atikokan
-91.6165,49.8306,Ontario,Atikokan
-92.2419,49.8454,Ontario,Dryden
